variant,model,model_display_name,runtime_size_name,parameters_million,latency_mean_ms,latency_mean_std_ms,latency_median_ms,latency_p95_ms,fps,peak_vram_mean_mb,peak_vram_min_mb,peak_vram_max_mb
deeplab_wire5,deeplabv3plus_resnet34,DeepLabV3+,crop_1024x1024,22.437971,11.680208375718857,0.02711855430418584,11.67628812789917,11.701810153325399,85.615218865665,571.71533203125,489.72216796875,612.7119140625
deeplab_wire5,deeplabv3plus_resnet34,DeepLabV3+,native_first_test_image,22.437971,52.932267846001515,0.1411719551539389,52.9279842376709,53.09146258036296,18.8921575599107,2316.53271484375,2234.53955078125,2357.529296875
hrnet_wire10,hrnet_w18_small_v2,HRNet-W18-Small-v2,crop_1024x1024,5.619475,20.455432913038464,0.10063179652439827,20.381333033243816,20.44479920069376,48.88755453977094,1129.90380859375,1129.90380859375,1129.90380859375
hrnet_wire10,hrnet_w18_small_v2,HRNet-W18-Small-v2,native_first_test_image,5.619475,96.62037412855359,0.13227882419187317,96.66286849975586,96.89833615620933,10.349796913629504,5292.1591796875,5292.1591796875,5292.1591796875
pidnet_pretrained_frozenbn,pidnet_s,PIDNet-S,crop_1024x1024,7.623651,5.871855280134413,0.20543678459298728,5.872127930323283,6.047676269213358,170.44259282212633,186.556640625,105.2578125,227.2060546875
pidnet_pretrained_frozenbn,pidnet_s,PIDNet-S,native_first_test_image,7.623651,24.2196038140191,0.026607240202352497,24.218122482299805,24.251694361368816,41.2889001993355,496.72607421875,415.42724609375,537.37548828125
segformer_wire10,segformer_b0,SegFormer-B0,crop_1024x1024,3.714915,17.56708730061849,0.021931781573855173,17.565675099690754,17.602484226226807,56.924692300073296,747.77587890625,747.77587890625,747.77587890625
segformer_wire10,segformer_b0,SegFormer-B0,native_first_test_image,3.714915,220.90415818956163,0.4680297457965371,220.9201456705729,221.22072626749673,4.526863587103065,3210.89111328125,3210.89111328125,3210.89111328125
unet_wire10,unet_resnet34,U-Net,crop_1024x1024,24.436659000000002,15.960754871368408,0.0659605898866301,15.961599985758463,15.991061607996622,62.65439330218635,568.62841796875,487.32958984375,609.27783203125
unet_wire10,unet_resnet34,U-Net,native_first_test_image,24.436659000000002,75.74605068630642,0.2403623276989349,75.74935404459636,75.84340413411458,13.202097223309288,2176.8466796875,2095.5478515625,2217.49609375
unetplusplus_frozenbn,unetplusplus_resnet34,U-Net++,crop_1024x1024,26.078898999999996,35.67956759134929,0.09198069370835607,35.67648569742838,35.79599272410075,28.027369857202842,1252.1728515625,1170.1796875,1293.16943359375
unetplusplus_frozenbn,unetplusplus_resnet34,U-Net++,native_first_test_image,26.078898999999996,176.63405083550347,0.6417344083775485,176.53316243489584,177.2580520629883,5.661472431495835,5772.87353515625,5690.88037109375,5813.8701171875
yolo26_wire5,yolo26s_sem,YOLO26s-Sem,crop_1024x1024,6.499014,4.912931187947591,0.11384301367880012,4.887653350830078,5.028407899538676,203.61664266513287,255.048828125,173.0556640625,296.04541015625
yolo26_wire5,yolo26s_sem,YOLO26s-Sem,native_first_test_image,6.499014,24.53211809794108,0.021787234696677905,24.533867200215656,24.58471476236979,40.762910142601044,1227.05908203125,1145.06591796875,1268.0556640625
